date,ticker,name,market,sector,cap,entry,pivot,cup_depth,handle_depth,cup_days,handle_days,cup_start,cup_end,vol_ratio,vs,rs,score,r1,r3,r5,r10,r15,r20,r30,r40,r50,r60
2010-07-05,047080,HANBIT SOFT Inc,KOSDAQ,기타,SmallCap,4765.0,4900.0,29.0,6.5,185,8,2009-09-25,2010-06-24,0.85,False,0.0,47,0.73,7.24,36.2,28.44,8.5,2.41,-6.3,-9.02,0.63,-4.3
2010-07-06,047080,HANBIT SOFT Inc,KOSDAQ,기타,SmallCap,4800.0,4900.0,29.0,6.5,185,9,2009-09-25,2010-06-24,0.72,False,0.0,47,8.96,17.71,52.08,28.75,9.79,6.25,-3.33,-10.52,-2.08,-4.48
2010-04-23,005380,Hyundai Motor Co. Ltd.,KOSPI,기타,SmallCap,130000.0,130500.0,17.7,9.6,147,15,2009-09-02,2010-04-05,1.22,False,27.8,75,1.15,1.15,5.38,0.38,8.08,4.23,5.0,8.85,4.62,5.38
2019-07-05,005380,Hyundai Motor Co. Ltd.,KOSPI,기타,SmallCap,141500.0,143500.0,29.2,5.2,181,19,2018-09-10,2019-06-11,0.79,False,18.7,71,-2.12,-3.18,-1.41,-4.95,-7.77,-9.89,-9.54,-7.42,-9.89,-9.19
2020-11-13,117580,Daesung Energy,KOSPI,기타,SmallCap,5570.0,5640.0,26.0,6.0,180,20,2020-01-28,2020-10-19,0.89,False,-3.0,47,-0.36,-1.62,-1.62,-1.8,-1.62,-1.26,-0.9,-6.28,-6.28,-7.0
2020-12-09,025900,Dongwha Enterprise Co.Ltd,KOSDAQ,기타,SmallCap,43750.0007,44700.0,30.6,6.9,100,6,2020-07-08,2020-12-02,1.24,False,57.5,79,-0.8,-2.51,3.77,3.09,26.4,33.26,42.63,34.17,13.14,14.06
2020-12-10,025900,Dongwha Enterprise Co.Ltd,KOSDAQ,기타,SmallCap,43400.0007,44700.0,30.6,6.9,100,7,2020-07-08,2020-12-02,1.33,False,48.3,79,-0.81,-1.38,5.3,6.91,26.96,30.18,46.54,32.49,17.97,16.36
2015-03-31,033310,M2N Co.Ltd,KOSDAQ,기타,SmallCap,2329.9992,2375.0,15.9,6.3,111,18,2014-09-22,2015-03-06,0.53,False,0.0,43,3.22,20.17,12.02,15.45,27.68,32.19,27.9,89.7,84.33,57.94
2015-04-09,033310,M2N Co.Ltd,KOSDAQ,기타,SmallCap,2754.9991,2800.0,22.6,6.8,169,5,2014-07-24,2015-04-03,3.73,True,0.0,68,-1.81,-2.36,-1.45,11.43,7.8,-3.45,42.47,69.87,46.1,17.97
2023-03-16,147830,Cheryong Industrial Co.Ltd,KOSDAQ,기타,SmallCap,3565.0,3600.0,25.3,5.6,189,6,2022-06-03,2023-03-09,1.0,False,3.4,47,0.7,2.1,1.4,2.66,-0.28,6.03,11.64,19.21,15.57,27.21
