date,ticker,name,exchange,sector,cap,entry,pivot,cup_depth,handle_depth,cup_days,handle_days,cup_start,cup_end,vol_ratio,vs,rs,score,r1,r3,r5,r10,r15,r20,r30,r40,r50,r60
2024-10-14,FSBC,Five Star Bancorp,NASDAQ,nan,SmallCap,30.04,30.85,38.2,8.9,482,18,2022-10-18,2024-09-19,0.49,False,0.0,43,2.23,4.19,0.03,1.5,-1.43,9.59,11.09,10.25,1.83,-5.43
2024-10-15,FSBC,Five Star Bancorp,NASDAQ,nan,SmallCap,30.71,30.85,39.3,8.9,465,19,2022-11-10,2024-09-19,0.45,False,0.0,43,1.76,1.92,-0.85,-1.99,-1.63,6.87,8.5,9.25,0.49,-5.99
2024-10-28,FSBC,Five Star Bancorp,NASDAQ,nan,SmallCap,30.49,31.3,39.3,5.1,485,8,2022-11-10,2024-10-17,0.65,False,0.0,43,-1.28,-1.34,-2.89,7.97,6.1,9.45,8.63,0.33,-6.82,0.03
2024-10-30,FSBC,Five Star Bancorp,NASDAQ,nan,SmallCap,31.26,31.3,39.3,5.1,485,10,2022-11-10,2024-10-17,0.75,False,0.0,43,-3.77,-5.28,7.17,4.86,3.1,6.08,6.37,-3.45,-5.15,-1.18
2009-09-29,HUBB,Hubbell Inc,NYSE,nan,SmallCap,42.05,43.03,48.6,5.1,258,6,2008-09-12,2009-09-22,0.88,False,0.0,40,-0.12,-3.28,0.59,2.09,7.9,7.54,10.75,11.77,9.46,11.44
2009-09-30,HUBB,Hubbell Inc,NYSE,nan,SmallCap,42.0,43.03,48.6,5.1,258,7,2008-09-12,2009-09-22,0.9,False,0.0,40,-2.76,-2.38,2.33,4.33,6.07,4.88,13.07,12.21,9.79,13.98
2009-10-06,HUBB,Hubbell Inc,NYSE,nan,SmallCap,42.3,43.03,48.6,5.5,258,11,2008-09-12,2009-09-22,1.39,False,0.0,40,1.61,4.26,1.49,7.26,6.9,3.12,12.58,9.88,8.39,11.82
2009-10-07,HUBB,Hubbell Inc,NYSE,nan,SmallCap,42.98,43.03,48.6,5.5,258,12,2008-09-12,2009-09-22,1.38,False,0.0,40,1.3,2.4,1.95,3.65,2.49,1.63,10.12,8.4,6.61,11.24
2019-08-19,HUBB,Hubbell Inc,NYSE,nan,SmallCap,127.81,131.62,26.5,6.6,435,15,2017-11-02,2019-07-30,0.7,False,0.0,47,-0.08,0.25,-3.08,-0.13,6.02,4.82,1.76,5.19,11.1,14.33
2019-08-20,HUBB,Hubbell Inc,NYSE,nan,SmallCap,127.71,131.62,26.5,6.6,435,16,2017-11-02,2019-07-30,0.62,False,0.0,47,0.7,-3.12,-3.07,1.54,7.13,4.43,-1.36,2.85,12.47,14.58
2019-08-21,HUBB,Hubbell Inc,NYSE,nan,SmallCap,128.6,131.62,26.5,6.6,435,17,2017-11-02,2019-07-30,0.59,False,0.0,47,-0.37,-3.68,-1.28,2.88,5.61,2.19,-0.52,4.39,10.19,14.75
2019-08-22,HUBB,Hubbell Inc,NYSE,nan,SmallCap,128.13,131.62,26.5,6.6,435,18,2017-11-02,2019-07-30,0.52,False,0.0,47,-3.43,-3.39,0.93,4.64,7.61,2.4,2.08,5.45,12.23,16.06
2013-05-02,CIGI,Colliers International Group Inc Bats,NASDAQ,nan,SmallCap,33.4657,34.32,36.4,5.5,479,17,2011-05-12,2013-04-10,1.24,False,0.0,43,0.15,1.82,-1.7,-1.46,-3.47,-4.81,-9.2,-6.54,-4.15,-0.03
2013-05-03,CIGI,Colliers International Group Inc Bats,NASDAQ,nan,SmallCap,33.5157,34.32,36.4,5.5,479,18,2011-05-12,2013-04-10,1.15,False,0.0,43,0.84,-0.12,-2.95,-1.85,-3.91,-3.97,-8.59,-9.01,-4.98,5.91
2013-05-06,CIGI,Colliers International Group Inc Bats,NASDAQ,nan,SmallCap,33.7957,34.32,36.4,5.5,479,19,2011-05-12,2013-04-10,1.5,True,0.0,43,0.83,-2.66,-4.38,-3.52,-5.71,-6.83,-9.41,-8.99,-6.48,9.82
2013-05-07,CIGI,Colliers International Group Inc Bats,NASDAQ,nan,SmallCap,34.0756,34.32,36.4,5.5,479,20,2011-05-12,2013-04-10,1.45,True,0.0,43,-1.76,-4.55,-3.9,-4.37,-6.57,-9.98,-11.03,-9.77,-5.4,7.31
2016-04-25,CNXN,PC Connection Inc,NASDAQ,nan,SmallCap,25.27,25.81,24.5,7.5,316,18,2014-12-26,2016-03-31,0.74,False,0.0,47,0.83,-1.58,-6.33,-7.56,-8.11,-10.13,-3.68,-5.9,-7.16,0.2
2016-04-26,CNXN,PC Connection Inc,NASDAQ,nan,SmallCap,25.48,25.81,24.5,7.5,316,19,2014-12-26,2016-03-31,0.83,False,0.0,47,-0.9,-6.71,-5.77,-9.3,-10.64,-10.32,-4.4,-6.59,-6.63,-1.53
2016-04-27,CNXN,PC Connection Inc,NASDAQ,nan,SmallCap,25.25,25.81,24.5,7.5,316,20,2014-12-26,2016-03-31,1.22,False,0.0,47,-1.5,-6.26,-6.06,-9.66,-9.94,-10.53,-4.28,-2.53,-4.16,-0.28
2021-02-05,CNXN,PC Connection Inc,NASDAQ,nan,SmallCap,51.89,53.28,37.4,9.9,296,10,2019-11-19,2021-01-25,1.26,False,0.0,43,1.41,2.62,3.91,-0.44,-9.6,-10.52,-10.95,-10.48,-12.91,-8.71
2021-02-08,CNXN,PC Connection Inc,NASDAQ,nan,SmallCap,52.62,53.28,37.4,9.9,296,11,2019-11-19,2021-01-25,1.22,False,0.0,43,1.2,3.67,2.49,-1.24,-13.32,-11.9,-14.14,-12.47,-15.32,-9.65
