date,ticker,label,r5,r10,lgbm_score,fold,score_bin
2016-01-06,GMED,0,-8.16,-9.97,0.0155,1,~0.2
2016-01-22,CPK,0,6.95,6.67,0.0072,1,~0.2
2016-01-25,CPK,1,4.67,10.95,0.0079,1,~0.2
2016-02-16,IIIN,0,-0.94,2.03,0.0078,1,~0.2
2016-03-11,FSLR,0,3.01,-2.73,0.014,1,~0.2
2016-03-14,FSLR,0,0.49,-2.24,0.0526,1,~0.2
2016-03-15,FSLR,0,0.72,-2.56,0.0149,1,~0.2
2016-03-16,FSLR,0,-5.32,-4.98,0.0517,1,~0.2
2016-03-17,KELYA,1,-1.07,8.28,0.0167,1,~0.2
2016-03-18,ITRI,0,-3.69,-2.51,0.018,1,~0.2
2016-03-18,KELYA,1,-0.34,8.54,0.0108,1,~0.2
2016-03-21,KELYA,0,3.11,4.59,0.0143,1,~0.2
2016-03-21,ITRI,0,0.1,-3.74,0.0122,1,~0.2
2016-03-22,ANIK,0,-1.85,-1.68,0.0637,1,~0.2
2016-03-22,ITRI,0,-0.53,-2.94,0.014,1,~0.2
2016-03-22,KELYA,0,5.08,4.35,0.0103,1,~0.2
2016-03-23,KELYA,0,9.44,5.27,0.0265,1,~0.2
2016-03-24,KELYA,0,9.45,5.75,0.0225,1,~0.2
2016-03-28,KELYA,0,8.91,7.49,0.0314,1,~0.2
2016-03-29,AEM,1,-2.33,10.13,0.029,1,~0.2
2016-03-29,ITRI,0,-3.83,-5.3,0.043,1,~0.2
2016-03-31,ITRI,0,-4.65,-2.9,0.0249,1,~0.2
2016-04-01,ITRI,0,-4.32,-4.3,0.0209,1,~0.2
2016-04-05,NEM,1,12.2,13.22,0.0473,1,~0.2
2016-04-05,PAAS,1,18.04,28.85,0.0464,1,~0.2
2016-04-06,NEM,1,6.27,9.77,0.0308,1,~0.2
2016-04-06,PAAS,1,14.91,25.45,0.0532,1,~0.2
2016-04-07,AEM,1,4.46,10.46,0.0093,1,~0.2
2016-04-07,SFM,0,-3.68,-4.88,0.0418,1,~0.2
2016-04-08,SFM,0,-2.29,-3.85,0.0215,1,~0.2
2016-04-08,SBS,1,8.28,8.13,0.0287,1,~0.2
2016-04-13,MAT,0,-1.14,-3.5,0.0061,1,~0.2
2016-04-13,SANM,0,-3.68,5.21,0.0102,1,~0.2
2016-04-13,CBT,0,0.5,3.85,0.0101,1,~0.2
2016-04-13,PATK,0,-1.08,2.15,0.0282,1,~0.2
2016-04-13,AAON,0,-0.8,-0.55,0.0404,1,~0.2
2016-04-14,PATK,0,3.0,-1.16,0.021,1,~0.2
2016-04-14,AAON,0,-2.14,-3.95,0.0316,1,~0.2
2016-04-14,MAT,0,-6.46,-5.89,0.0269,1,~0.2
2016-04-14,ADTN,0,-8.06,-1.68,0.0132,1,~0.2
2016-04-14,CBT,0,1.38,3.57,0.0069,1,~0.2
2016-04-15,ADTN,0,-4.29,-4.83,0.0228,1,~0.2
2016-04-15,PATK,0,3.73,-3.94,0.0918,1,~0.2
2016-04-15,CBT,0,2.89,1.58,0.0143,1,~0.2
2016-04-15,MAT,0,-5.13,-7.88,0.0118,1,~0.2
2016-04-18,MAT,0,-5.48,-7.66,0.0144,1,~0.2
2016-04-18,ADTN,0,-4.99,-4.5,0.0149,1,~0.2
2016-04-18,PATK,0,0.61,-3.55,0.0556,1,~0.2
2016-04-19,ASA,0,0.0,4.61,0.0717,1,~0.2
2016-04-19,PATK,0,0.66,-3.64,0.0224,1,~0.2
2016-04-19,MAT,0,-4.81,-9.11,0.0214,1,~0.2
2016-04-20,PATK,0,3.27,-6.26,0.0325,1,~0.2
2016-04-21,ASA,0,4.31,1.54,0.0852,1,~0.2
2016-04-26,SON,0,-1.63,-0.92,0.0228,1,~0.2
2016-04-26,VTR,0,2.01,7.57,0.0112,1,~0.2
2016-04-26,KELYA,0,-5.28,-4.86,0.0247,1,~0.2
2016-04-26,STGW,0,-14.91,-25.65,0.0199,1,~0.2
2016-04-26,ASA,0,4.61,2.1,0.1132,1,~0.2
2016-04-27,ASA,0,-1.61,3.86,0.064,1,~0.2
2016-04-27,BKH,0,4.13,1.99,0.0082,1,~0.2
2016-04-27,SON,0,-2.78,-2.84,0.0219,1,~0.2
2016-04-27,VTR,0,4.7,4.96,0.0094,1,~0.2
2016-04-27,GCO,0,-4.39,-11.1,0.0067,1,~0.2
2016-04-28,VTR,0,5.78,7.16,0.0075,1,~0.2
2016-04-28,PPL,0,2.82,4.4,0.0073,1,~0.2
2016-04-28,BKH,0,2.14,1.54,0.0112,1,~0.2
2016-04-29,AORT,0,-1.21,-5.4,0.0182,1,~0.2
2016-04-29,VTR,0,6.41,7.47,0.0039,1,~0.2
2016-05-02,FELE,0,-1.28,-1.68,0.0108,1,~0.2
2016-05-02,AORT,0,-1.21,-5.48,0.0147,1,~0.2
2016-05-02,VTR,0,6.45,7.36,0.0056,1,~0.2
2016-05-02,SON,0,-1.71,-2.01,0.0094,1,~0.2
2016-05-03,VTR,0,5.45,4.62,0.0131,1,~0.2
2016-05-03,FELE,0,0.28,-3.04,0.0204,1,~0.2
2016-05-04,FCFS,0,-1.06,-6.57,0.0164,1,~0.2
2016-05-04,FELE,0,0.56,-1.6,0.0109,1,~0.2
2016-05-05,LPX,0,0.22,-2.33,0.0069,1,~0.2
2016-05-06,FCFS,0,-2.99,-7.06,0.0104,1,~0.2
2016-05-06,FELE,0,-1.88,-1.76,0.011,1,~0.2
2016-05-09,FCFS,0,-4.65,-8.38,0.0411,1,~0.2
2016-05-10,NDSN,1,-1.68,12.65,0.0237,1,~0.2
2016-05-10,MGM,0,-2.66,0.4,0.0092,1,~0.2
2016-05-10,FCFS,0,-7.17,-6.53,0.0056,1,~0.2
2016-05-10,CVLT,0,-0.77,2.56,0.0194,1,~0.2
2016-05-10,BAP,0,3.06,-0.78,0.0141,1,~0.2
2016-05-10,FELE,0,-3.31,0.4,0.0086,1,~0.2
2016-05-11,CVLT,0,1.19,5.19,0.0329,1,~0.2
2016-05-11,FELE,0,-2.15,1.6,0.0112,1,~0.2
2016-05-11,NDSN,1,-2.15,13.25,0.0145,1,~0.2
2016-05-11,BAP,0,1.24,0.68,0.0096,1,~0.2
2016-05-11,MWA,0,-2.6,2.97,0.0692,1,~0.2
2016-05-12,MWA,0,-2.8,2.05,0.0089,1,~0.2
2016-05-12,CVLT,0,-1.57,2.2,0.0251,1,~0.2
2016-05-12,NDSN,1,-3.93,12.77,0.0077,1,~0.2
2016-05-12,ACM,0,-3.26,-1.6,0.0212,1,~0.2
2016-05-12,CM,0,-2.34,0.11,0.0071,1,~0.2
2016-05-12,FELE,0,-4.83,0.55,0.0055,1,~0.2
2016-05-12,BAP,0,-2.68,1.35,0.0039,1,~0.2
2016-05-13,CVLT,0,1.49,3.99,0.0171,1,~0.2
2016-05-13,PATK,1,4.77,9.79,0.0093,1,~0.2
2016-05-13,BAP,0,-3.49,-1.5,0.0057,1,~0.2
2016-05-16,TRP,0,-1.1,1.49,0.005,1,~0.2
2016-05-16,CVLT,0,-0.41,2.35,0.0171,1,~0.2
2016-05-16,CM,0,-1.5,-1.26,0.0068,1,~0.2
2016-05-16,NDSN,1,-1.91,12.0,0.0062,1,~0.2
2016-05-16,MWA,0,-0.47,2.71,0.0711,1,~0.2
2016-05-16,ACM,0,-3.74,-1.62,0.0125,1,~0.2
2016-05-17,ACM,0,-0.93,-0.96,0.0164,1,~0.2
2016-05-17,CVLT,0,3.36,6.2,0.0361,1,~0.2
2016-05-17,TRP,0,-0.2,3.48,0.0055,1,~0.2
2016-05-18,APA,0,2.3,-1.36,0.0134,1,~0.2
2016-05-18,CRVL,1,2.91,12.61,0.0406,1,~0.2
2016-05-18,CVLT,0,3.95,5.88,0.0176,1,~0.2
2016-05-19,CVLT,0,3.83,7.29,0.0162,1,~0.2
2016-05-19,APA,0,1.84,-4.21,0.0073,1,~0.2
2016-05-20,TXN,0,4.25,4.72,0.0132,1,~0.2
2016-05-20,TRP,0,2.67,7.68,0.0042,1,~0.2
2016-05-20,CVLT,0,2.46,5.08,0.0205,1,~0.2
2016-05-20,ONTO,0,5.5,7.46,0.0663,1,~0.2
2016-05-20,CRVL,0,3.17,6.14,0.0377,1,~0.2
2016-05-20,APA,0,2.07,-2.61,0.019,1,~0.2
2016-05-23,MWA,0,3.19,7.22,0.0234,1,~0.2
2016-05-23,CVLT,0,2.77,5.99,0.0113,1,~0.2
2016-05-23,TXN,0,3.18,4.82,0.0096,1,~0.2
2016-05-23,ONTO,0,3.56,3.5,0.1439,1,~0.2
2016-05-23,CRVL,0,3.24,5.06,0.0254,1,~0.2
2016-05-24,MTZ,0,0.13,5.18,0.0515,1,~0.2
2016-05-24,HIW,0,3.12,4.18,0.0052,1,~0.2
2016-05-24,ACM,0,-0.03,3.18,0.033,1,~0.2
2016-05-24,CTRE,0,1.35,4.51,0.006,1,~0.2
2016-05-24,SAP,0,2.09,2.48,0.0086,1,~0.2
2016-05-24,MWA,0,0.37,6.76,0.0109,1,~0.2
2016-05-24,CDP,0,1.39,2.85,0.0051,1,~0.2
2016-05-24,CRVL,0,0.85,2.54,0.0242,1,~0.2
2016-05-24,EPAC,0,2.18,2.22,0.0234,1,~0.2
2016-05-24,MCHP,0,3.5,6.06,0.0126,1,~0.2
2016-05-24,TRP,0,3.68,6.11,0.0092,1,~0.2
2016-05-24,ONTO,0,5.72,5.06,0.0508,1,~0.2
2016-05-24,LPX,0,1.84,1.95,0.034,1,~0.2
2016-05-25,CRVL,0,9.42,-0.59,0.0331,1,~0.2
2016-05-25,TRP,0,2.61,4.96,0.0062,1,~0.2
2016-05-25,HIW,0,2.79,4.75,0.0067,1,~0.2
2016-05-25,STLD,0,1.3,6.5,0.0117,1,~0.2
2016-05-25,ONTO,0,7.21,5.59,0.0732,1,~0.2
2016-05-25,CDP,0,1.91,3.74,0.0042,1,~0.2
2016-05-25,BAP,0,0.53,7.28,0.0104,1,~0.2
2016-05-25,LPX,0,1.51,0.5,0.0165,1,~0.2
2016-05-26,WSR,0,2.5,7.49,0.0103,1,~0.2
2016-05-26,WOR,0,4.56,6.03,0.0027,1,~0.2
2016-05-26,ONTO,0,4.65,3.6,0.0606,1,~0.2
2016-05-26,TRP,0,3.32,3.1,0.0038,1,~0.2
2016-05-26,CDP,0,1.31,3.18,0.0065,1,~0.2
2016-05-26,NHI,0,2.25,3.14,0.0081,1,~0.2
2016-05-26,STLD,0,2.14,4.61,0.0125,1,~0.2
2016-05-26,LPX,0,-0.72,-1.83,0.0171,1,~0.2
2016-05-26,RES,1,0.41,9.07,0.011,1,~0.2
2016-05-26,BAP,0,2.94,1.18,0.0033,1,~0.2
2016-05-26,HIW,0,2.54,3.66,0.0092,1,~0.2
2016-05-27,HIW,0,0.15,2.47,0.0042,1,~0.2
2016-05-27,NHI,0,0.3,2.11,0.0099,1,~0.2
2016-05-27,STLD,0,3.41,3.89,0.0087,1,~0.2
2016-05-27,LPX,0,1.1,-5.51,0.0135,1,~0.2
2016-05-27,GTY,0,1.33,4.72,0.0103,1,~0.2
2016-05-27,WSR,0,1.16,6.11,0.0048,1,~0.2
2016-05-27,CDP,0,1.22,2.41,0.0029,1,~0.2
2016-05-27,CTRE,0,2.19,3.32,0.0075,1,~0.2
2016-05-31,WSR,0,3.8,4.97,0.0075,1,~0.2
2016-05-31,LPX,0,0.66,-5.42,0.0166,1,~0.2
2016-05-31,CTRE,0,1.57,1.64,0.0206,1,~0.2
2016-05-31,BKH,0,2.71,4.0,0.0133,1,~0.2
2016-05-31,CDP,0,0.81,1.92,0.0031,1,~0.2
2016-05-31,NHI,0,0.67,1.68,0.0081,1,~0.2
2016-05-31,HIW,0,0.08,1.07,0.0041,1,~0.2
2016-06-01,LPX,0,0.11,-6.78,0.0148,1,~0.2
2016-06-01,BKH,0,2.58,1.82,0.0098,1,~0.2
2016-06-01,WSR,0,4.0,3.85,0.0075,1,~0.2
2016-06-01,BAP,0,6.83,3.76,0.0036,1,~0.2
2016-06-01,GTY,0,2.93,2.73,0.01,1,~0.2
2016-06-01,NHI,0,1.47,1.9,0.0043,1,~0.2
2016-06-01,CDP,0,1.44,1.59,0.0066,1,~0.2
2016-06-01,CTRE,0,3.12,1.26,0.0128,1,~0.2
2016-06-02,WSR,0,5.65,3.91,0.0041,1,~0.2
2016-06-02,NHI,0,1.64,2.08,0.0053,1,~0.2
2016-06-02,LPX,0,-0.99,-6.1,0.0086,1,~0.2
2016-06-02,CVGW,1,18.32,15.48,0.0242,1,~0.2
2016-06-02,CTRE,0,3.52,2.32,0.0126,1,~0.2
2016-06-02,BAP,0,6.72,3.55,0.0052,1,~0.2
2016-06-03,LPX,0,-1.12,-5.47,0.0051,1,~0.2
2016-06-03,KIM,0,1.35,1.56,0.0025,1,~0.2
