date,ticker,name,label,r5,r10,lgbm_score,fold,score_bin
2016-01-04,47400,Ssangyong Materials Corp.,0,-3.3,3.49,0.3387,1,0.3~0.4
2016-01-06,120110,Kolon Industries Inc,0,-2.75,-13.15,0.0878,1,~0.2
2016-01-08,100120,Vieworks Co. Ltd,1,10.71,9.34,0.0702,1,~0.2
2016-01-11,100120,Vieworks Co. Ltd,1,13.68,9.69,0.1928,1,~0.2
2016-01-12,100120,Vieworks Co. Ltd,1,11.64,17.29,0.1035,1,~0.2
2016-01-12,096770,SK Innovation,0,-1.14,4.92,0.1332,1,~0.2
2016-01-12,36420,Jcontentree Corp,0,0.17,-5.55,0.1504,1,~0.2
2016-01-12,60540,System and Application Technologies Co. Ltd,0,-15.24,-17.38,0.2258,1,0.2~0.3
2016-01-13,096770,SK Innovation,0,-5.58,-2.6,0.0496,1,~0.2
2016-01-13,36420,Jcontentree Corp,0,-3.52,-6.38,0.1228,1,~0.2
2016-01-14,79160,CJ CGV,0,-2.33,3.1,0.114,1,~0.2
2016-01-14,096770,SK Innovation,0,-1.49,-2.97,0.1011,1,~0.2
2016-01-19,41830,InBody Co.Ltd,0,0.53,-0.7,0.1709,1,~0.2
2016-01-19,36420,Jcontentree Corp,0,-5.7,-10.57,0.1156,1,~0.2
2016-01-22,79940,GABIA Inc,0,-3.0,-1.28,0.1449,1,~0.2
2016-01-22,36530,SNT Holdings Co Ltd,0,3.76,1.2,0.167,1,~0.2
2016-01-22,000640,Dong-A Socio Holdings Co. Ltd.,0,5.42,2.46,0.1193,1,~0.2
2016-01-25,36420,Jcontentree Corp,0,-8.5,-21.77,0.1772,1,~0.2
2016-01-26,47400,Ssangyong Materials Corp.,0,0.55,-9.65,0.1022,1,~0.2
2016-01-26,41830,InBody Co.Ltd,0,-1.23,-17.16,0.1411,1,~0.2
2016-01-27,47400,Ssangyong Materials Corp.,0,-1.82,-8.0,0.0764,1,~0.2
2016-01-28,60150,INSUN Environmental New Technology Co. Ltd,0,0.64,-6.6,0.0894,1,~0.2
2016-01-28,014130,Han Express,0,8.49,3.47,0.0962,1,~0.2
2016-01-29,014130,Han Express,0,10.47,-1.94,0.1643,1,~0.2
2016-01-29,60150,INSUN Environmental New Technology Co. Ltd,0,1.13,-2.59,0.0729,1,~0.2
2016-02-01,60150,INSUN Environmental New Technology Co. Ltd,0,-3.71,4.84,0.1055,1,~0.2
2016-02-02,60150,INSUN Environmental New Technology Co. Ltd,0,-8.47,2.24,0.2389,1,0.2~0.3
2016-02-22,003520,Yungjin Pharm. Co. Ltd.,0,-3.39,-5.38,0.1011,1,~0.2
2016-02-24,012330,"Hyundai Mobis Co.,Ltd",0,-4.69,-4.88,0.0658,1,~0.2
2016-02-24,003520,Yungjin Pharm. Co. Ltd.,0,-1.8,-2.6,0.0752,1,~0.2
2016-02-24,010950,S-Oil Corp.,0,3.55,5.63,0.081,1,~0.2
2016-02-25,014130,Han Express,0,-1.81,-3.97,0.1183,1,~0.2
2016-02-26,36570,NCsoft Corp,0,-1.48,6.75,0.1005,1,~0.2
2016-02-26,014130,Han Express,0,-1.81,-2.53,0.1171,1,~0.2
2016-02-29,36570,NCsoft Corp,0,-2.92,5.42,0.1162,1,~0.2
2016-03-02,014130,Han Express,0,-4.32,-2.16,0.0967,1,~0.2
2016-03-02,36570,NCsoft Corp,0,1.05,5.27,0.1041,1,~0.2
2016-03-02,003520,Yungjin Pharm. Co. Ltd.,0,-2.4,-1.6,0.0373,1,~0.2
2016-03-03,36570,NCsoft Corp,0,8.66,2.27,0.0624,1,~0.2
2016-03-10,007810,Korea Circuit Co. Ltd.,0,-5.83,-4.17,0.1345,1,~0.2
2016-03-11,007810,Korea Circuit Co. Ltd.,0,-3.32,-3.73,0.1073,1,~0.2
