date,ticker,name,market,sector,entry,pivot,cup_depth,handle_depth,cup_days,handle_days,cup_start,cup_end,vol_ratio,rs,score,lgbm_score,pct_from_pivot,safety
2026-05-12,248070,솔루엠,KOSPI,nan,21100.0,23600.0,32.5,10.6,387,5,2024-09-27,2026-05-06,3.53,-102.4,66,,-10.6,danger
2026-05-12,108670,LX하우시스,KOSPI,nan,38800.0,42500.0,36.7,8.8,382,6,2024-10-07,2026-05-04,2.57,-98.2,59,,-8.7,caution
2026-05-12,053080,케이엔솔,KOSDAQ,nan,14590.0,17010.0,41.2,14.2,388,5,2024-09-26,2026-05-06,5.23,-109.4,56,,-14.2,danger
2026-05-12,040910,아이씨디,KOSDAQ,nan,5630.0,6470.0,40.5,13.0,388,5,2024-09-26,2026-05-06,3.78,-92.2,56,,-13.0,danger
2026-05-12,464500,아이언디바이스,KOSDAQ,nan,3585.0,4050.0,25.0,11.5,225,10,2025-05-26,2026-04-27,2.36,-121.6,55,,-11.5,danger
2026-05-12,153490,우리이앤엘하루틴,KOSDAQ,nan,842.0,916.0,32.3,10.2,371,15,2024-10-10,2026-04-20,2.37,-102.6,55,,-8.1,caution
2026-05-12,003620,KG모빌리티,KOSPI,nan,4055.0,4440.0,22.3,8.7,351,6,2024-11-19,2026-05-04,1.12,-117.8,47,,-8.7,caution
2026-05-12,122990,와이솔,KOSDAQ,nan,7440.0,7740.0,20.8,5.8,245,11,2025-04-22,2026-04-24,1.15,-110.0,47,,-3.9,safe
2026-05-12,348350,위드텍,KOSDAQ,nan,10950.0,12000.0,29.3,8.8,195,5,2025-07-16,2026-05-06,1.6,-103.7,47,,-8.8,caution
2026-05-12,382480,지아이텍,KOSDAQ,nan,2565.0,2835.0,28.7,9.5,384,9,2024-09-26,2026-04-28,1.13,-117.9,47,,-9.5,caution
2026-05-12,018500,동원금속,KOSPI,nan,1800.0,1903.0,26.5,5.5,335,6,2024-12-12,2026-05-04,1.16,-105.6,47,,-5.4,safe
2026-05-12,198080,캐프,KOSDAQ,nan,3020.0,3170.0,28.7,8.5,379,9,2024-10-07,2026-04-28,0.44,-102.3,47,,-4.7,safe
2026-05-12,194370,제이에스코퍼레이션,KOSPI,nan,13710.0,15370.0,33.1,10.8,196,10,2025-07-08,2026-04-27,0.96,-99.4,44,,-10.8,danger
2026-05-12,084680,이월드,KOSPI,nan,1795.0,1985.0,32.1,11.3,387,10,2024-09-20,2026-04-27,0.93,-109.0,44,,-9.6,caution
2026-05-12,031430,신세계인터내셔날,KOSPI,nan,14380.0,15320.0,36.5,6.7,384,8,2024-09-27,2026-04-29,0.98,-100.0,43,,-6.1,safe
2026-05-12,011760,현대코퍼레이션,KOSPI,nan,28100.0,32550.0,30.2,13.7,219,8,2025-06-09,2026-04-29,1.16,-107.6,42,,-13.7,danger
2026-05-12,036570,NC,KOSPI,nan,250000.0,277500.0,44.5,9.9,341,8,2024-12-02,2026-04-29,0.82,-98.8,40,,-9.9,caution
2026-05-12,339950,아이비김영,KOSDAQ,nan,2590.0,2850.0,41.5,9.1,256,11,2025-04-07,2026-04-24,0.85,-105.7,40,,-9.1,caution
2026-05-12,096770,SK이노베이션,KOSPI,nan,128500.0,149800.0,39.4,14.2,288,8,2025-02-24,2026-04-29,1.46,-109.9,38,,-14.2,danger
2026-05-12,000157,두산2우B,KOSPI,nan,559000.0,630000.0,41.4,11.3,220,5,2025-06-11,2026-05-06,0.97,-58.5,37,,-11.3,danger
2026-05-12,037070,파세코,KOSDAQ,nan,8990.0,9810.0,43.5,11.0,196,10,2025-07-08,2026-04-27,1.34,-103.4,37,,-8.4,caution
2026-05-12,005070,코스모신소재,KOSPI,nan,56900.0,65500.0,49.7,13.1,328,13,2024-12-12,2026-04-22,1.0,-105.0,34,,-13.1,danger
2026-05-12,085670,뉴프렉스,KOSDAQ,nan,6130.0,7150.0,43.4,14.3,380,12,2024-09-27,2026-04-23,0.71,-112.7,34,,-14.3,danger
