sector,n_stocks,rs_4w_avg,rs_12w_avg,rs_4w_pos,rank_4w,rank_12w
Technology,71,4.855070422535211,9.414366197183098,43.66197183098591,1.0,1.0
기타,1543,-5.023966299416721,-16.640200907323397,19.572261827608557,2.0,5.0
Industrials,191,-5.934607329842932,-2.5782722513089,23.56020942408377,3.0,3.0
Consumer Cyclical,140,-6.555,-22.640642857142858,12.142857142857142,4.0,8.0
Basic Materials,126,-7.420238095238096,-15.540714285714285,23.015873015873016,5.0,4.0
Financial Services,64,-7.71484375,1.1556249999999997,6.25,6.0,2.0
Energy,12,-10.784166666666666,-19.743333333333336,8.333333333333332,7.0,6.0
Communication Services,32,-16.9203125,-34.1875,3.125,8.0,11.0
Consumer Defensive,85,-19.125882352941176,-32.53729411764706,3.5294117647058822,9.0,10.0
Real Estate,23,-21.274782608695652,-32.40826086956522,0.0,10.0,9.0
Healthcare,60,-21.641833333333334,-38.765166666666666,0.0,11.0,12.0
Utilities,14,-26.832857142857144,-21.964285714285715,0.0,12.0,7.0
