rank,ticker,name,ratio
1,005930,삼성전자,-0.158
2,000660,SK하이닉스,-0.14
3,009150,삼성전기,0.089
4,005380,현대차,-0.005
5,402340,SK스퀘어,0.007
6,066570,LG전자,-0.015
7,086520,에코프로,0.065
8,034020,두산에너빌리티,0.093
9,042660,한화오션,0.015
10,035420,NAVER,0.063
11,005935,삼성전자우,-0.137
12,006400,삼성SDI,0.037
13,000500,가온전선,0.238
14,240810,원익IPS,-0.719
15,010120,LS ELECTRIC,-0.016
16,373220,LG에너지솔루션,0.113
19,036930,주성엔지니어링,0.281
20,042700,한미반도체,-0.133
21,005490,POSCO홀딩스,0.068
22,010140,삼성중공업,0.062
23,047040,대우건설,0.177
24,347700,스피어,0.177
25,011070,LG이노텍,0.123
26,247540,에코프로비엠,0.094
27,001440,대한전선,0.043
28,093370,후성,0.158
29,010170,대한광통신,0.473
30,068270,셀트리온,0.095
