rank,ticker,name,date,inst,frgn,total,ratio,close
3,005380,현대차,05/08,269226535000.0,189772540000.0,458999075000.0,0.329,613000.0
3,005380,현대차,04/28,119702955000.0,375959220000.0,495662175000.0,0.355,555000.0
4,066570,LG전자,05/12,58582976400.0,117865244600.0,176448221000.0,0.573,184900.0
4,066570,LG전자,05/06,7819352000.0,149953578300.0,157772930300.0,0.512,154900.0
5,010170,대한광통신,05/12,1230959100.0,-80679808200.0,-79448849100.0,-1.984,29100.0
5,010170,대한광통신,05/11,6058861250.0,87631774750.0,93690636000.0,2.34,27950.0
5,010170,대한광통신,05/07,1116639600.0,77032436400.0,78149076000.0,1.952,21800.0
5,010170,대한광통신,05/06,-13234057200.0,-19274886540.0,-32508943740.0,-0.812,18270.0
5,010170,대한광통신,05/04,17811403800.0,67082079600.0,84893483400.0,2.12,17700.0
5,010170,대한광통신,04/30,-895789200.0,-27498310500.0,-28394099700.0,-0.709,15150.0
5,010170,대한광통신,04/29,626279060.0,-21772849670.0,-21146570610.0,-0.528,15070.0
5,010170,대한광통신,04/28,112495950.0,-64378964970.0,-64266469020.0,-1.605,15090.0
5,010170,대한광통신,04/27,-236855700.0,78712732080.0,78475876380.0,1.96,16020.0
5,010170,대한광통신,04/24,365262400.0,-30869562560.0,-30504300160.0,-0.762,13360.0
5,010170,대한광통신,04/23,180116960.0,-29195386880.0,-29015269920.0,-0.725,14320.0
5,010170,대한광통신,04/22,-3245314940.0,-12090539700.0,-15335854640.0,-0.383,15220.0
6,034020,두산에너빌리티,05/08,-54127310400.0,-254000707200.0,-308128017600.0,-0.399,129600.0
7,439960,코스모로보틱스,05/11,-2489784000.0,-14338632000.0,-16828416000.0,-1.293,24000.0
8,006400,삼성SDI,04/29,55464800000.0,142958920000.0,198423720000.0,0.398,712000.0
8,006400,삼성SDI,04/28,118043240000.0,122939240000.0,240982480000.0,0.483,680000.0
8,006400,삼성SDI,04/22,-6630858000.0,-154514412000.0,-161145270000.0,-0.323,659000.0
8,006400,삼성SDI,04/21,92362065000.0,67012920000.0,159374985000.0,0.32,645000.0
9,009150,삼성전기,05/12,470499666000.0,-113537370000.0,356962296000.0,0.482,958000.0
9,009150,삼성전기,05/06,-68703696000.0,-262227360000.0,-330931056000.0,-0.447,912000.0
10,005935,삼성전자우,05/07,63017645400.0,-675597970800.0,-612580325400.0,-0.417,185400.0
11,319400,현대무벡스,05/11,1828342800.0,-31467627900.0,-29639285100.0,-0.62,38700.0
11,319400,현대무벡스,05/08,1122067650.0,36385738950.0,37507806600.0,0.785,37950.0
12,263750,펄어비스,04/27,3240265000.0,7043701000.0,10283966000.0,0.313,60200.0
12,263750,펄어비스,04/24,2247225000.0,9349140000.0,11596365000.0,0.353,57000.0
12,263750,펄어비스,04/23,-571123200.0,-14035497200.0,-14606620400.0,-0.444,55600.0
12,263750,펄어비스,04/22,4103104700.0,11149659500.0,15252764200.0,0.464,57700.0
13,010140,삼성중공업,05/12,-35096596400.0,-154550988400.0,-189647584800.0,-0.694,31400.0
13,010140,삼성중공업,05/08,-36816943500.0,-114078912750.0,-150895856250.0,-0.552,31950.0
13,010140,삼성중공업,05/06,-50110560500.0,-32455309250.0,-82565869750.0,-0.302,31850.0
13,010140,삼성중공업,05/04,-46206768000.0,-64381900500.0,-110588668500.0,-0.405,32250.0
13,010140,삼성중공업,04/27,-32529723600.0,-66160888800.0,-98690612400.0,-0.361,33450.0
13,010140,삼성중공업,04/23,54144660000.0,40467718000.0,94612378000.0,0.346,34000.0
14,035420,NAVER,04/30,-75915690000.0,-124147969000.0,-200063659000.0,-0.634,211000.0
15,047040,대우건설,05/04,-566804500.0,-41570689450.0,-42137493950.0,-0.354,32150.0
15,047040,대우건설,04/30,-6693715000.0,-64710415000.0,-71404130000.0,-0.6,35000.0
15,047040,대우건설,04/29,-11595271500.0,-91428901200.0,-103024172700.0,-0.866,36900.0
15,047040,대우건설,04/28,1884545200.0,302544844800.0,304429390000.0,2.559,37150.0
15,047040,대우건설,04/24,-4728448000.0,-62990268000.0,-67718716000.0,-0.569,32800.0
15,047040,대우건설,04/23,-32787958000.0,-49466257750.0,-82254215750.0,-0.691,33250.0
15,047040,대우건설,04/22,-3617574450.0,-52682402850.0,-56299977300.0,-0.473,32550.0
15,047040,대우건설,04/21,-22181469750.0,208431607500.0,186250137750.0,1.566,32850.0
15,047040,대우건설,04/20,-2244347000.0,-75509027400.0,-77753374400.0,-0.654,28100.0
16,012330,현대모비스,05/12,46341620000.0,-230282204000.0,-183940584000.0,-0.323,548000.0
17,005490,POSCO홀딩스,05/04,76782908000.0,103150458000.0,179933366000.0,0.483,502000.0
17,005490,POSCO홀딩스,04/28,73598772000.0,186233797500.0,259832569500.0,0.697,466500.0
17,005490,POSCO홀딩스,04/21,72890838000.0,102245362500.0,175136200500.0,0.47,421500.0
18,001440,대한전선,05/12,-569923200.0,111164793600.0,110594870400.0,0.875,67200.0
18,001440,대한전선,05/11,-5399806500.0,-91702522500.0,-97102329000.0,-0.768,70500.0
18,001440,대한전선,05/08,36560085600.0,173995300200.0,210555385800.0,1.666,72300.0
18,001440,대한전선,05/07,-2172284900.0,-46281802500.0,-48454087400.0,-0.383,64100.0
18,001440,대한전선,05/04,8437785600.0,-67845604000.0,-59407818400.0,-0.47,60700.0
18,001440,대한전선,04/30,32293623700.0,32535038100.0,64828661800.0,0.513,56300.0
18,001440,대한전선,04/28,12011708700.0,34100165700.0,46111874400.0,0.365,45900.0
18,001440,대한전선,04/24,5929454450.0,103489177500.0,109418631950.0,0.866,42850.0
18,001440,대한전선,04/23,-17611415400.0,-103223456500.0,-120834871900.0,-0.956,40850.0
18,001440,대한전선,04/21,9211094850.0,33325759200.0,42536854050.0,0.336,41550.0
19,034220,LG디스플레이,04/24,-4577585280.0,-28046406210.0,-32623991490.0,-0.454,12770.0
19,034220,LG디스플레이,04/23,-12805727500.0,-62243928750.0,-75049656250.0,-1.044,13250.0
19,034220,LG디스플레이,04/22,1083213000.0,51184743840.0,52267956840.0,0.727,15480.0
20,010120,LS ELECTRIC,05/07,-9394476000.0,-195423000500.0,-204817476500.0,-0.471,318500.0
20,010120,LS ELECTRIC,04/28,-39954846500.0,-225651226500.0,-265606073000.0,-0.611,261500.0
21,086520,에코프로,05/11,-33552830400.0,-39834561600.0,-73387392000.0,-0.402,146400.0
21,086520,에코프로,04/30,-25048842500.0,-43934591800.0,-68983434300.0,-0.377,152900.0
21,086520,에코프로,04/23,-25889739600.0,-46628664000.0,-72518403600.0,-0.397,157200.0
21,086520,에코프로,04/22,-16535480600.0,-49532671100.0,-66068151700.0,-0.362,164300.0
22,006800,미래에셋증권,05/06,40254922200.0,86651881600.0,126906803800.0,0.312,83800.0
22,006800,미래에셋증권,05/04,51829237400.0,111559562100.0,163388799500.0,0.402,70300.0
24,042660,한화오션,05/12,-44378110000.0,-104989418000.0,-149367528000.0,-0.398,122000.0
26,032820,우리기술,05/12,-4444800000.0,19285040000.0,14840240000.0,0.467,20000.0
26,032820,우리기술,05/07,-2447106650.0,-20033626050.0,-22480732700.0,-0.707,20950.0
26,032820,우리기술,05/06,-10886141250.0,23752038750.0,12865897500.0,0.405,21250.0
26,032820,우리기술,05/04,-2896815650.0,-8465615800.0,-11362431450.0,-0.357,21550.0
26,032820,우리기술,04/28,-7128165750.0,-31583430000.0,-38711595750.0,-1.218,22250.0
26,032820,우리기술,04/24,1374938900.0,-13757083400.0,-12382144500.0,-0.389,22900.0
26,032820,우리기술,04/23,-32947200.0,41965068600.0,41932121400.0,1.319,23400.0
26,032820,우리기술,04/21,-109029250.0,-22104930650.0,-22213959900.0,-0.699,22550.0
27,042700,한미반도체,04/30,16611888000.0,154274800000.0,170886688000.0,0.461,368000.0
27,042700,한미반도체,04/27,65549623500.0,331481623500.0,397031247000.0,1.072,373500.0
28,038500,삼표시멘트,05/12,-163573520.0,7744244300.0,7580670780.0,0.478,13820.0
29,247540,에코프로비엠,05/11,-30172242000.0,-36984090000.0,-67156332000.0,-0.347,222000.0
29,247540,에코프로비엠,04/23,-38613244500.0,-36419121000.0,-75032365500.0,-0.388,205500.0
30,196170,알테오젠,05/12,19032300000.0,43813278000.0,62845578000.0,0.327,342000.0
30,196170,알테오젠,05/08,-33125542500.0,-30870070500.0,-63995613000.0,-0.333,340500.0
