theme,n_large,rs_2w_avg,rs_6w_avg,accel_avg,up_ratio,up_count,total
광통신(광케이블/광섬유 등),8,35.97,7.68,28.29,100.0,8,8
의료AI,5,9.93,-14.44,24.37,80.0,4,5
면세점,4,2.14,-18.04,20.18,50.0,2,4
LED,8,19.57,1.7,17.87,50.0,4,8
조선기자재,15,6.22,-10.33,16.55,53.3,8,15
탈모 치료,6,2.57,-12.62,15.19,50.0,3,6
백화점,4,2.76,-12.22,14.99,75.0,3,4
전선,7,15.79,1.69,14.1,100.0,7,7
3D 프린터,4,4.28,-9.73,14.01,100.0,4,4
통신장비,11,19.08,6.4,12.69,81.8,9,11
드론(Drone),9,8.0,-4.09,12.09,77.8,7,9
2차전지(장비),4,18.11,6.16,11.95,75.0,3,4
원격진료/비대면진료(U-Healthcare),5,7.7,-4.25,11.95,40.0,2,5
의료기기,14,0.03,-11.9,11.93,21.4,3,14
반도체 대표주(생산),3,10.02,-0.73,10.75,66.7,2,3
방위산업/전쟁 및 테러,30,9.35,-0.6,9.95,56.7,17,30
건강기능식품,6,-2.26,-12.11,9.85,50.0,3,6
고체산화물 연료전지(SOFC),10,11.34,1.61,9.73,60.0,6,10
패션/의류,10,0.37,-9.25,9.63,40.0,4,10
철도,7,9.95,1.28,8.67,85.7,6,7
양자암호/양자컴퓨팅,4,1.62,-6.7,8.32,25.0,1,4
강관업체(Steel pipe),3,1.27,-6.92,8.19,66.7,2,3
모더나(MODERNA),3,4.11,-3.89,8.0,33.3,1,3
소매유통,8,-0.35,-8.22,7.86,37.5,3,8
5G(5세대 이동통신),17,10.1,2.38,7.72,47.1,8,17
풍력에너지,19,6.0,-1.48,7.48,52.6,10,19
스페이스X(SpaceX),8,13.25,6.02,7.23,75.0,6,8
조선,6,-0.94,-8.14,7.19,16.7,1,6
오가노이드,3,-0.19,-7.13,6.93,33.3,1,3
홈쇼핑,3,-1.2,-7.84,6.64,33.3,1,3
전력설비,18,8.32,1.82,6.5,72.2,13,18
스마트카(SMART CAR),4,1.29,-5.0,6.3,25.0,1,4
보안주(정보),3,9.63,3.35,6.28,100.0,3,3
리츠(REITs),6,2.17,-4.02,6.19,50.0,3,6
전력반도체,5,5.06,-1.12,6.18,60.0,3,5
마이크로 LED,4,15.46,9.43,6.03,50.0,2,4
우주항공산업(누리호/인공위성 등),21,12.33,6.53,5.8,81.0,17,21
뉴로모픽 반도체,3,9.1,3.37,5.73,66.7,2,3
보톡스(보툴리눔톡신),3,-4.21,-9.68,5.47,0.0,0,3
공기청정기,6,12.98,7.57,5.41,66.7,4,6
UAM(도심항공모빌리티),15,0.95,-3.47,4.42,33.3,5,15
플렉서블 디스플레이,8,7.45,3.29,4.16,37.5,3,8
희귀금속(희토류 등),4,5.23,1.32,3.91,50.0,2,4
미용기기,7,-3.38,-7.26,3.88,0.0,0,7
전기차(충전소/충전기),7,-3.11,-6.63,3.52,14.3,1,7
핵융합에너지,5,19.67,16.41,3.25,60.0,3,5
전력저장장치(ESS),21,3.13,0.03,3.1,42.9,9,21
시스템반도체,18,6.65,3.58,3.07,55.6,10,18
엔터테인먼트,4,-4.33,-7.35,3.02,25.0,1,4
