theme,n_large,rs_2w_avg,rs_6w_avg,accel_avg,up_ratio,up_count,total
두나무(Dunamu),6,100.18,2.62,97.56,16.7,1,6
태양광에너지,14,31.89,-0.13,32.03,14.3,2,14
의료AI,4,-24.48,-49.96,25.49,25.0,1,4
손해보험,7,-4.25,-26.45,22.2,57.1,4,7
항공/저가 항공사(LCC),3,-9.19,-28.29,19.1,66.7,2,3
생명보험,5,-5.43,-23.62,18.19,60.0,3,5
음성인식,3,-5.87,-22.74,16.87,33.3,1,3
전력저장장치(ESS),20,17.93,1.56,16.38,15.0,3,20
원격진료/비대면진료(U-Healthcare),5,-22.87,-37.23,14.36,40.0,2,5
제습기,5,2.22,-9.92,12.15,60.0,3,5
피지컬 AI/휴머노이드 로봇,15,1.65,-10.5,12.15,73.3,11,15
스마트팩토리(스마트공장),11,-7.98,-19.55,11.58,54.5,6,11
SI(시스템통합),9,-6.42,-17.42,11.0,55.6,5,9
공기청정기,6,-1.65,-12.43,10.78,50.0,3,6
자동차 대표주,7,-4.16,-14.7,10.55,85.7,6,7
엔터테인먼트,4,-23.85,-34.15,10.3,0.0,0,4
겨울,8,-16.12,-26.34,10.21,12.5,1,8
홈쇼핑,4,-2.68,-12.43,9.75,50.0,2,4
음원/음반,4,-21.97,-31.46,9.49,0.0,0,4
초전도체,4,-25.24,-34.71,9.47,0.0,0,4
보안주(정보),3,-17.94,-27.3,9.36,0.0,0,3
바이오시밀러(복제 바이오의약품),11,-20.19,-29.48,9.29,0.0,0,11
카지노,4,-17.98,-26.88,8.9,0.0,0,4
반도체 장비,31,7.57,-0.97,8.54,35.5,11,31
제약업체,21,-20.07,-27.93,7.86,0.0,0,21
인터넷은행,11,-12.87,-20.61,7.74,27.3,3,11
편의점,4,-9.68,-17.2,7.52,50.0,2,4
클라우드 컴퓨팅,11,-9.23,-15.9,6.68,45.5,5,11
"백신/진단시약/방역(신종플루, AI 등)",11,-15.69,-21.85,6.15,18.2,2,11
스마트홈(홈네트워크),8,-6.17,-12.04,5.87,37.5,3,8
비만치료제,14,-24.08,-29.68,5.6,0.0,0,14
핀테크(FinTech),8,-16.06,-20.92,4.86,25.0,2,8
웹툰,3,-18.61,-23.41,4.79,0.0,0,3
코로나19(진단키트),7,-16.8,-21.17,4.37,14.3,1,7
해운,4,-14.56,-18.74,4.19,25.0,1,4
탈모 치료,4,-20.45,-24.4,3.94,0.0,0,4
전기차(충전소/충전기),7,-6.16,-10.0,3.85,57.1,4,7
NFT(대체불가토큰),6,-17.3,-20.93,3.64,16.7,1,6
스테이블코인,7,-19.64,-22.8,3.17,14.3,1,7
은행,9,-18.69,-21.77,3.07,0.0,0,9
오가노이드,3,-20.21,-23.2,2.99,0.0,0,3
AI 챗봇(챗GPT 등),4,-16.34,-19.33,2.98,25.0,1,4
음식료업종,16,-15.4,-18.12,2.72,18.8,3,16
부동산 보유 자산주,9,-15.04,-17.64,2.61,22.2,2,9
IT 대표주,6,0.81,-1.66,2.47,66.7,4,6
전자결제(전자화폐),5,-23.35,-25.7,2.35,0.0,0,5
mRNA(메신저 리보핵산),5,-21.54,-23.38,1.84,0.0,0,5
코로나19(치료제/백신 개발 등),10,-25.87,-27.26,1.39,0.0,0,10
