ticker,name,theme,theme_no
024840,KBI메탈,전선,178
006340,대원전선,전선,178
000500,가온전선,전선,178
001440,대한전선,전선,178
006260,LS,전선,178
103590,일진전기,전선,178
060370,LS마린솔루션,전선,178
229640,LS에코에너지,전선,178
403550,쏘카,렌터카,525
038390,레드캡투어,렌터카,525
089860,롯데렌탈,렌터카,525
381970,케이카,렌터카,525
025860,남해화학,비료,204
001390,KG케미칼,비료,204
001550,조비,비료,204
332290,누보,비료,204
097870,효성오앤비,비료,204
033250,체시스,비료,204
054050,농우바이오,비료,204
014580,태경비케이,비료,204
004000,롯데정밀화학,비료,204
014830,유니드,비료,204
007610,선도전기,전력설비,123
024840,KBI메탈,전력설비,123
062040,산일전기,전력설비,123
125020,티씨머티리얼즈,전력설비,123
006340,대원전선,전력설비,123
000500,가온전선,전력설비,123
001440,대한전선,전력설비,123
006260,LS,전력설비,123
033100,제룡전기,전력설비,123
147830,제룡산업,전력설비,123
199820,제일일렉트릭,전력설비,123
017510,세명전기,전력설비,123
103590,일진전기,전력설비,123
119850,지엔씨에너지,전력설비,123
010120,LS ELECTRIC,전력설비,123
060370,LS마린솔루션,전력설비,123
096690,에이루트,전력설비,123
054220,비츠로시스,전력설비,123
267260,HD현대일렉트릭,전력설비,123
036190,금화피에스시,전력설비,123
034020,두산에너빌리티,전력설비,123
298040,효성중공업,전력설비,123
038460,바이오스마트,전력설비,123
051600,한전KPS,전력설비,123
015760,한국전력,전력설비,123
042370,비츠로테크,전력설비,123
189860,서전기전,전력설비,123
294630,서남,전력설비,123
006910,보성파워텍,전력설비,123
130660,한전산업,전력설비,123
388050,지투파워,전력설비,123
479960,위너스일렉,전력설비,123
229640,LS에코에너지,전력설비,123
237750,피앤씨테크,전력설비,123
025860,남해화학,태풍 및 장마,82
001550,조비,태풍 및 장마,82
043200,파루,태풍 및 장마,82
002100,경농,태풍 및 장마,82
007590,동방아그로,태풍 및 장마,82
060260,뉴보텍,태풍 및 장마,82
000490,대동,태풍 및 장마,82
060150,인선이엔티,태풍 및 장마,82
004000,롯데정밀화학,태풍 및 장마,82
101670,하이드로리튬,태풍 및 장마,82
125020,티씨머티리얼즈,해저터널(지하화/지하도로 등),213
006260,LS,해저터널(지하화/지하도로 등),213
025550,한국선재,해저터널(지하화/지하도로 등),213
017510,세명전기,해저터널(지하화/지하도로 등),213
060370,LS마린솔루션,해저터널(지하화/지하도로 등),213
026150,특수건설,해저터널(지하화/지하도로 등),213
028100,동아지질,해저터널(지하화/지하도로 등),213
011390,부산산업,해저터널(지하화/지하도로 등),213
046940,우원개발,해저터널(지하화/지하도로 등),213
065440,이루온,유심(USIM),580
081580,성우전자,유심(USIM),580
089850,유비벨록스,유심(USIM),580
057540,옴니시스템,유심(USIM),580
070300,엑스큐어,유심(USIM),580
092190,서울바이오시스,광통신(광케이블/광섬유 등),586
006260,LS,광통신(광케이블/광섬유 등),586
