ticker,name,market,exchange,sector,industry,market_cap,cap
005930,삼성전자,KOSPI,KO,,,1321258965408000.0,MegaCap
000660,SK하이닉스,KOSPI,KO,,,921524157945000.0,MegaCap
005935,삼성전자우,KOSPI,KO,,,131187691690500.0,MegaCap
005380,현대차,KOSPI,KO,,,113845317896000.0,MegaCap
373220,LG에너지솔루션,KOSPI,KO,,,110682000000000.0,MegaCap
402340,SK스퀘어,KOSPI,KO,,,109525460380000.0,MegaCap
034020,두산에너빌리티,KOSPI,KO,,,82760500063200.0,MegaCap
012450,한화에어로스페이스,KOSPI,KO,,,73220029420000.0,MegaCap
329180,HD현대중공업,KOSPI,KO,,,72423245250000.0,MegaCap
207940,삼성바이오로직스,KOSPI,KO,,,68186570823000.0,MegaCap
009150,삼성전기,KOSPI,KO,,,61771686592000.0,MegaCap
000270,기아,KOSPI,KO,,,61255799386200.0,MegaCap
105560,KB금융,KOSPI,KO,,,59879783073000.0,MegaCap
006400,삼성SDI,KOSPI,KO,,,57376897360000.0,MegaCap
032830,삼성생명,KOSPI,KO,,,50400000000000.0,MegaCap
028260,삼성물산,KOSPI,KO,,,50029130638500.0,MegaCap
055550,신한지주,KOSPI,KO,,,47465436100000.0,MegaCap
267260,HD현대일렉트릭,KOSPI,KO,,,45419390100000.0,MegaCap
068270,셀트리온,KOSPI,KO,,,45275405244000.0,MegaCap
010120,LS ELECTRIC,KOSPI,KO,,,40950000000000.0,MegaCap
042660,한화오션,KOSPI,KO,,,40538492026200.0,MegaCap
012330,현대모비스,KOSPI,KO,,,39831603937000.0,MegaCap
006800,미래에셋증권,KOSPI,KO,,,37882677776000.0,MegaCap
005490,POSCO홀딩스,KOSPI,KO,,,37164276163000.0,MegaCap
298040,효성중공업,KOSPI,KO,,,37130350136000.0,MegaCap
086790,하나금융지주,KOSPI,KO,,,34872140770800.0,MegaCap
035420,NAVER,KOSPI,KO,,,34507580360000.0,MegaCap
042700,한미반도체,KOSPI,KO,,,34074111500000.0,MegaCap
010130,고려아연,KOSPI,KO,,,33480242276000.0,MegaCap
009540,HD한국조선해양,KOSPI,KO,,,33404910752000.0,MegaCap
034730,SK,KOSPI,KO,,,30813648775000.0,MegaCap
010140,삼성중공업,KOSPI,KO,,,29040000000000.0,MegaCap
064350,현대로템,KOSPI,KO,,,28813565352000.0,MegaCap
051910,LG화학,KOSPI,KO,,,28766379772500.0,MegaCap
015760,한국전력,KOSPI,KO,,,28567401426500.0,MegaCap
000150,두산,KOSPI,KO,,,25456708620000.0,MegaCap
096770,SK이노베이션,KOSPI,KO,,,25324107642400.0,MegaCap
316140,우리금융지주,KOSPI,KO,,,24591556720000.0,MegaCap
267250,HD현대,KOSPI,KO,,,23776918585000.0,MegaCap
003670,포스코퓨처엠,KOSPI,KO,,,23214963420000.0,MegaCap
272210,한화시스템,KOSPI,KO,,,22311379840900.0,MegaCap
066570,LG전자,KOSPI,KO,,,22119971354600.0,MegaCap
086520,에코프로,KOSDAQ GLOBAL,KQ,,,21710606704800.0,MegaCap
035720,카카오,KOSPI,KO,,,21441248158000.0,MegaCap
079550,LIG디펜스앤에어로스페이스,KOSPI,KO,,,21296000000000.0,MegaCap
247540,에코프로비엠,KOSDAQ GLOBAL,KQ,,,20788967225000.0,MegaCap
000810,삼성화재,KOSPI,KO,,,20716427472000.0,MegaCap
017670,SK텔레콤,KOSPI,KO,,,20533929066800.0,MegaCap
196170,알테오젠,KOSDAQ GLOBAL,KQ,,,20342860340000.0,MegaCap
033780,KT&G,KOSPI,KO,,,20240427842500.0,MegaCap
011200,HMM,KOSPI,KO,,,19572187877500.0,MegaCap
138040,메리츠금융지주,KOSPI,KO,,,19060854394700.0,MegaCap
000720,현대건설,KOSPI,KO,,,18774581979000.0,MegaCap
024110,기업은행,KOSPI,KO,,,17981953345950.0,MegaCap
086280,현대글로비스,KOSPI,KO,,,17887500000000.0,MegaCap
278470,에이피알,KOSPI,KO,,,16884607905000.0,MegaCap
047810,한국항공우주,KOSPI,KO,,,16210110294100.0,MegaCap
030200,KT,KOSPI,KO,,,15247311942500.0,MegaCap
047040,대우건설,KOSPI,KO,,,15162491842200.0,MegaCap
003550,LG,KOSPI,KO,,,15159981805500.0,MegaCap
010950,S-Oil,KOSPI,KO,,,15119868965600.0,MegaCap
047050,포스코인터내셔널,KOSPI,KO,,,14935844701200.0,MegaCap
011070,LG이노텍,KOSPI,KO,,,14010927344000.0,MegaCap
071050,한국금융지주,KOSPI,KO,,,13875772008000.0,MegaCap
018260,삼성에스디에스,KOSPI,KO,,,13169701560000.0,MegaCap
259960,크래프톤,KOSPI,KO,,,13155190252500.0,MegaCap
006260,LS,KOSPI,KO,,,13057200000000.0,MegaCap
307950,현대오토에버,KOSPI,KO,,,12998967468000.0,MegaCap
277810,레인보우로보틱스,KOSDAQ,KQ,,,12881505712000.0,MegaCap
005940,NH투자증권,KOSPI,KO,,,12329515167400.0,MegaCap
443060,HD현대마린솔루션,KOSPI,KO,,,12037784010000.0,MegaCap
323410,카카오뱅크,KOSPI,KO,,,11713306728350.0,MegaCap
005830,DB손해보험,KOSPI,KO,,,11279160097800.0,MegaCap
039490,키움증권,KOSPI,KO,,,11107691826000.0,MegaCap
352820,하이브,KOSPI,KO,,,10883317872500.0,MegaCap
007660,이수페타시스,KOSPI,KO,,,10717745974000.0,MegaCap
028050,삼성E&A,KOSPI,KO,,,10642800000000.0,MegaCap
000250,삼천당제약,KOSDAQ,KQ,,,10391660096000.0,MegaCap
003230,삼양식품,KOSPI,KO,,,9898381710000.0,LargeCap
016360,삼성증권,KOSPI,KO,,,9706910000000.0,LargeCap
001440,대한전선,KOSPI,KO,,,9546101760000.0,LargeCap
267270,HD건설기계,KOSPI,KO,,,9402927128000.0,LargeCap
000880,한화,KOSPI,KO,,,9342299267500.0,LargeCap
003490,대한항공,KOSPI,KO,,,9242338591100.0,LargeCap
950160,코오롱티슈진,KOSDAQ,KQ,,,9100651770000.0,LargeCap
005387,현대차2우B,KOSPI,KO,,,9038175905000.0,LargeCap
058470,리노공업,KOSDAQ GLOBAL,KQ,,,8543348385000.0,LargeCap
066970,엘앤에프,KOSPI,KO,,,8436452827000.0,LargeCap
028300,HLB,KOSDAQ,KQ,,,8389190943000.0,LargeCap
090430,아모레퍼시픽,KOSPI,KO,,,8270876122600.0,LargeCap
009830,한화솔루션,KOSPI,KO,,,8242247101200.0,LargeCap
