ticker,name,market,exchange,sector,industry,market_cap,cap
000020,Dongwha Pharm.Co.Ltd,KOSPI,KO,기타,,0,SmallCap
000040,KR Motors Co. Ltd.,KOSPI,KO,기타,,0,SmallCap
000050,Kyungbangco.Ltd,KOSPI,KO,기타,,0,SmallCap
000070,Samyang Holdings,KOSPI,KO,기타,,0,SmallCap
000080,Hite Jinro,KOSPI,KO,기타,,0,SmallCap
000087,HiteJinro Co Ltd,KOSPI,KO,기타,,0,SmallCap
000100,Yuhan Corp.,KOSPI,KO,기타,,0,SmallCap
000105,Yuhan Corp Preferred,KOSPI,KO,기타,,0,SmallCap
000120,CJ Korea Express,KOSPI,KO,기타,,0,SmallCap
000140,Hitejinro Holdings,KOSPI,KO,기타,,0,SmallCap
000145,HiteJinro Holdings Co Ltd,KOSPI,KO,기타,,0,SmallCap
000150,Doosan,KOSPI,KO,기타,,0,SmallCap
000155,Doosan Pref Shs,KOSPI,KO,기타,,0,SmallCap
000157,Doosan Co Ltd,KOSPI,KO,기타,,0,SmallCap
000180,Sungchang Hold,KOSPI,KO,기타,,0,SmallCap
000210,DL Holdings CO. LTD.,KOSPI,KO,기타,,0,SmallCap
000215,DL Holdings Co Ltd Preferred,KOSPI,KO,기타,,0,SmallCap
000220,Yuyu Pharma Inc.,KOSDAQ,KQ,기타,,0,SmallCap
000225,Yuyu Pharma Inc. Pfd. Series 1,KOSDAQ,KQ,기타,,0,SmallCap
000227,Yuyu Pharma Inc. Pfd. Series 2,KOSDAQ,KQ,기타,,0,SmallCap
000230,Il Dong Holdings Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
000240,Hankook Tire Worldwide,KOSPI,KO,기타,,0,SmallCap
000270,Kia Corp,KOSPI,KO,기타,,0,SmallCap
000320,NOROO Holdings Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
000325,NOROO Holdings Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,기타,,0,SmallCap
000370,Hanwha General,KOSPI,KO,기타,,0,SmallCap
000390,Samhwa Paint Industrial Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
000400,Lotte Non-Life Insurance Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
000430,Daewonkangup,KOSPI,KO,기타,,0,SmallCap
000480,Chosun Refractories Co Ltd,KOSPI,KO,기타,,0,SmallCap
000490,Daedong Ind,KOSPI,KO,기타,,0,SmallCap
000500,Gaon Cable Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
000520,Samil Pharmaceutical Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
000540,Heungkuk Fire & Marine Insurance Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
000545,Heungkuk Fire & Marine Insurance Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,기타,,0,SmallCap
000590,Cs Holdings,KOSPI,KO,기타,,0,SmallCap
000640,Dong-A Socio Holdings Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
000650,Chunil Express,KOSPI,KO,기타,,0,SmallCap
000660,SK Hynix Inc,KOSPI,KO,기타,,0,SmallCap
000670,YoungPoong,KOSPI,KO,기타,,0,SmallCap
000680,LS Networks Corp. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
000700,EUSU Holdings Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
000720,Hyundai Engineering & Construction Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
000725,Hyundai Engineering & Construction Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,기타,,0,SmallCap
000760,Rifa Ind,KOSPI,KO,기타,,0,SmallCap
000810,Samsung Fire & Marine Insurance Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
000815,Samsung Fire & Marine Insurance Co. Pfd. Series 1,KOSDAQ,KQ,기타,,0,SmallCap
000850,Hwacheon Machine Tool Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
000860,Kangnam Jevisco Co. Ltd.,KOSDAQ,KQ,기타,,0,SmallCap
