ticker,name,market,exchange,sector,industry,market_cap,cap
000020,Dongwha Pharm.Co.Ltd,KOSPI,KO,Healthcare,Drug Manufacturers - Specialty & Generic,161595539456.0,SmallCap
000050,Kyungbangco.Ltd,KOSPI,KO,Consumer Cyclical,Textile Manufacturing,224735739904.0,MidCap
000070,Samyang Holdings,KOSPI,KO,Industrials,Conglomerates,461731364864.0,MidCap
000080,Hite Jinro,KOSPI,KO,Consumer Defensive,Beverages - Wineries & Distilleries,1166765719552.0,LargeCap
000087,HiteJinro Co Ltd,KOSPI,KO,Consumer Defensive,Beverages - Wineries & Distilleries,1156552065024.0,LargeCap
000100,Yuhan Corp.,KOSPI,KO,Healthcare,Drug Manufacturers - Specialty & Generic,7087638708224.0,LargeCap
000105,Yuhan Corp Preferred,KOSPI,KO,Healthcare,Drug Manufacturers - Specialty & Generic,7124749910016.0,LargeCap
000120,CJ Korea Express,KOSPI,KO,Industrials,Integrated Freight & Logistics,2062326300672.0,LargeCap
000140,Hitejinro Holdings,KOSPI,KO,Consumer Defensive,Beverages - Brewers,194120024064.0,SmallCap
000145,HiteJinro Holdings Co Ltd,KOSPI,KO,Consumer Defensive,Beverages - Brewers,254617665536.0,MidCap
000150,Doosan,KOSPI,KO,Industrials,Conglomerates,17480097464320.0,MegaCap
000155,Doosan Pref Shs,KOSPI,KO,Industrials,Conglomerates,14154174824448.0,MegaCap
000157,Doosan Co Ltd,KOSPI,KO,Industrials,Conglomerates,1051990163456.0,LargeCap
000180,Sungchang Hold,KOSPI,KO,Basic Materials,Lumber & Wood Production,100233052160.0,SmallCap
000210,DL Holdings CO. LTD.,KOSPI,KO,Basic Materials,Specialty Chemicals,1365934211072.0,LargeCap
000215,DL Holdings Co Ltd Preferred,KOSPI,KO,Basic Materials,Specialty Chemicals,891247329280.0,MidCap
000220,Yuyu Pharma Inc.,KOSDAQ,KQ,Healthcare,Drug Manufacturers - Specialty & Generic,67077181440.0,SmallCap
000230,Il Dong Holdings Co. Ltd.,KOSDAQ,KQ,Healthcare,Drug Manufacturers - Specialty & Generic,112017530880.0,SmallCap
000240,Hankook Tire Worldwide,KOSPI,KO,Consumer Cyclical,Auto Parts,2273235435520.0,LargeCap
000270,Kia Corp,KOSPI,KO,Consumer Cyclical,Auto Manufacturers,56137734946816.0,MegaCap
000320,NOROO Holdings Co. Ltd.,KOSDAQ,KQ,Basic Materials,Specialty Chemicals,214807166976.0,MidCap
000325,NOROO Holdings Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,Basic Materials,Specialty Chemicals,322631499776.0,MidCap
000370,Hanwha General,KOSPI,KO,Financial Services,Insurance - Property & Casualty,736502087680.0,MidCap
000390,Samhwa Paint Industrial Co. Ltd.,KOSDAQ,KQ,Basic Materials,Specialty Chemicals,218370490368.0,MidCap
000400,Lotte Non-Life Insurance Co. Ltd.,KOSDAQ,KQ,Financial Services,Insurance - Property & Casualty,618220027904.0,MidCap
000430,Daewonkangup,KOSPI,KO,Consumer Cyclical,Auto Parts,243039993856.0,MidCap
000480,Chosun Refractories Co Ltd,KOSPI,KO,Basic Materials,Building Materials,196587470848.0,SmallCap
000490,Daedong Ind,KOSPI,KO,Industrials,Farm & Heavy Construction Machinery,248632999936.0,MidCap
000500,Gaon Cable Co. Ltd.,KOSDAQ,KQ,Technology,Communication Equipment,1612953681920.0,LargeCap
000520,Samil Pharmaceutical Co. Ltd.,KOSDAQ,KQ,Healthcare,Drug Manufacturers - Specialty & Generic,195312795648.0,SmallCap
000540,Heungkuk Fire & Marine Insurance Co. Ltd.,KOSDAQ,KQ,Financial Services,Insurance - Property & Casualty,267891818496.0,MidCap
000545,Heungkuk Fire & Marine Insurance Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,Financial Services,Insurance - Property & Casualty,343310630912.0,MidCap
000590,Cs Holdings,KOSPI,KO,Industrials,Tools & Accessories,76604547072.0,SmallCap
000640,Dong-A Socio Holdings Co. Ltd.,KOSDAQ,KQ,Healthcare,Drug Manufacturers - Specialty & Generic,624014000128.0,MidCap
