ticker,name,exchange,sector,industry,market_cap,cap
A,Agilent Technologies Inc,NYSE,Healthcare,Diagnostics & Research,31680870400.0,LargeCap
AA,Alcoa Corp,NYSE,Basic Materials,Aluminum,16681393152.0,LargeCap
AACBR,Artius II Acquisition Inc. Rights,NASDAQ,,,0.0,
AACIU,Armada Acquisition Corp. III Units,NASDAQ,Financial Services,Shell Companies,0.0,
AAGRW,African Agriculture Holdings Inc,NASDAQ,,,0.0,
AAL,American Airlines Group,NASDAQ,Industrials,Airlines,6721900544.0,MidCap
AAM,AA Mission Acquisition Corp.,NYSE,Financial Services,Shell Companies,468762848.0,SmallCap
AAMI,Acadian Asset Management Inc,NYSE,Financial Services,Asset Management,1867575808.0,SmallCap
AAOI,Applied Opt,NASDAQ,Technology,Communication Equipment,6617144320.0,MidCap
AAON,AAON Inc,NASDAQ,Industrials,Building Products & Equipment,6385416192.0,MidCap
AAOX,Tradr 2X Long AAOI Daily ETF,BATS,,,0.0,
AAP,Advance Auto Parts Inc,NYSE,Consumer Cyclical,Auto Parts,3074715904.0,MidCap
AAPG,Ascentage Pharma Group International,NASDAQ,Healthcare,Biotechnology,2215497216.0,MidCap
AAPL,Apple Inc,NASDAQ,Technology,Consumer Electronics,3624949514240.0,MegaCap
AAT,American Assets Trust Inc,NYSE,Real Estate,REIT - Diversified,1425006336.0,SmallCap
AAUC,Allied Gold Corporation,NYSE,Basic Materials,Gold,3892247808.0,MidCap
AB,AllianceBernstein Holding L.P. ,NYSE,Financial Services,Asset Management,3364687872.0,MidCap
ABAT,American Battery Technology Company Common Stock,NASDAQ,Industrials,Waste Management,330590208.0,SmallCap
ABBV,AbbVie Inc,NYSE,Healthcare,Drug Manufacturers - General,376958615552.0,MegaCap
ABCB,Ameris Bancorp,NYSE,Financial Services,Banks - Regional,5228157952.0,MidCap
ABCL,Abcellera Biologics Inc,NASDAQ,Healthcare,Biotechnology,994366336.0,SmallCap
ABEV,Ambev SA ADR,NYSE,Consumer Defensive,Beverages - Brewers,44039282688.0,LargeCap
ABG,Asbury Automotive Group Inc,NYSE,Consumer Cyclical,Auto & Truck Dealerships,3732756992.0,MidCap
ABLVW,Able View Global Inc. Warrant,NASDAQ,,,0.0,
ABM,ABM Industries Incorporated,NYSE,Industrials,Specialty Business Services,2219706368.0,MidCap
ABNB,Airbnb Inc,NASDAQ,Consumer Cyclical,Travel Services,73800171520.0,LargeCap
ABOT,ABOT,BATS,,,0.0,
ABPWW,Abpro Holdings Inc,NASDAQ,,,0.0,
ABR,Arbor Realty Trust,NYSE,Real Estate,REIT - Mortgage,1557350272.0,SmallCap
ABSI,Absci Corp,NASDAQ,Healthcare,Biotechnology,422338688.0,SmallCap
ABT,Abbott Laboratories,NYSE,Healthcare,Medical Devices,177035132928.0,LargeCap
ABTC,American Bitcoin Corp,NASDAQ,Financial Services,Capital Markets,836705664.0,SmallCap
ABUS,Arbutus Biopharma Corp,NASDAQ,Healthcare,Biotechnology,840555712.0,SmallCap
ABVEW,Above Food Ingredients Inc. Warrants,NASDAQ,,,0.0,
ABVX,Abivax SA American Depositary Shares,NASDAQ,Healthcare,Biotechnology,8040077312.0,MidCap
ABX,"Abacus Global Management, Inc.",NASDAQ,Financial Services,Insurance - Life,778112768.0,SmallCap
ABXL,ABXL,NYSE,,,0.0,
ACA,Arcosa Inc,NYSE,Industrials,Engineering & Construction,5007006208.0,MidCap
ACAAU,Averin Capital Acquisition Corp. Units,NASDAQ,,,0.0,
ACAD,ACADIA Pharmaceuticals Inc,NASDAQ,Healthcare,Biotechnology,3592321280.0,MidCap
ACDC,ProFrac Holding Corp.,NASDAQ,Energy,Oil & Gas Equipment & Services,1136182400.0,SmallCap
ACEL,Accel Entertainment Inc,NYSE,Consumer Cyclical,Gambling,877728192.0,SmallCap
ACGL,Arch Capital Group Ltd,NASDAQ,Financial Services,Insurance - Diversified,34066808832.0,LargeCap
ACHC,Acadia Healthcare Company Inc,NASDAQ,Healthcare,Medical Care Facilities,2105194880.0,MidCap
ACHR,Archer Aviation Inc,NYSE,Industrials,Aerospace & Defense,3704329472.0,MidCap
ACHR-WS,ACHR-WS,NYSE,,,0.0,
ACHR-WT,Archer Aviation Inc. WT,NYSE,,,0.0,
ACI,Albertsons Companies,NYSE,Consumer Defensive,Grocery Stores,9546963968.0,MidCap
ACIC,American Coastal Insurance Corp,NASDAQ,Financial Services,Insurance - Property & Casualty,551535616.0,SmallCap
ACIW,ACI Worldwide Inc,NASDAQ,Technology,Software - Infrastructure,4155477760.0,MidCap
ACLS,Axcelis Technologies Inc,NASDAQ,Technology,Semiconductor Equipment & Materials,2777902592.0,MidCap
ACLX,Arcellx Inc,NASDAQ,Healthcare,Biotechnology,6711727616.0,MidCap
ACM,Aecom Technology Corporation,NYSE,Industrials,Engineering & Construction,10758106112.0,LargeCap
ACMR,Acm Research Inc,NASDAQ,Technology,Semiconductor Equipment & Materials,2493047552.0,MidCap
ACN,Accenture plc,NYSE,Technology,Information Technology Services,121579216896.0,LargeCap
ACNB,ACNB Corporation,NASDAQ,Financial Services,Banks - Regional,494005536.0,SmallCap
ACONW,Aclarion Inc,NASDAQ,,,0.0,
ACRS,Aclaris Therapeutics Inc,NASDAQ,Healthcare,Biotechnology,422594496.0,SmallCap
ACT,Enact Holdings Inc,NASDAQ,Financial Services,Insurance - Specialty,5772350976.0,MidCap
ACTG,Acacia Research Corporation,NASDAQ,Industrials,Business Equipment & Supplies,466941312.0,SmallCap
ACVA,ACV Auctions Inc.,NYSE,Consumer Cyclical,Auto & Truck Dealerships,736322816.0,SmallCap
ACYN,First Trust Exchange-Traded Fund,NYSE ARCA,,,0.0,
AD,"Array Digital Infrastructure, Inc.",NYSE,Communication Services,Telecom Services,3960517376.0,MidCap
ADACW,American Drive Acquisition Company Warrant,NASDAQ,,,0.0,
ADAM,"New York Mortgage Trust, Inc.",NASDAQ,Real Estate,REIT - Mortgage,648701056.0,SmallCap
ADAMG,"Adamas Trust, Inc.",NASDAQ,,,0.0,
ADAMH,"Adamas Trust, Inc.",NASDAQ,,,0.0,
ADAMI,"New York Mortgage Trust, Inc. 9.125% Senior Notes Due 2029",NASDAQ,,,0.0,
ADAMM,"New York Mortgage Trust, Inc.",NASDAQ,Real Estate,REIT - Mortgage,0.0,
ADAMN,"Adamas Trust, Inc",NASDAQ,Real Estate,REIT - Mortgage,0.0,
ADAMO,"Adamas Trust, Inc. 9.250% Senior Notes Due 2031",NASDAQ,,,0.0,
ADAMZ,"Adamas Trust, Inc",NASDAQ,Real Estate,REIT - Mortgage,0.0,
ADBE,Adobe Systems Incorporated,NASDAQ,Technology,Software - Application,98293497856.0,LargeCap
ADC,Agree Realty Corporation,NYSE,Real Estate,REIT - Retail,9024582656.0,MidCap
ADCT,ADC Therapeutics SA,NYSE,Healthcare,Biotechnology,462441440.0,SmallCap
ADEA,ADEIA CORP,NASDAQ,Technology,Software - Application,2560577024.0,MidCap
ADI,Analog Devices Inc,NASDAQ,Technology,Semiconductors,147974684672.0,LargeCap
ADM,Archer-Daniels-Midland Company,NYSE,Consumer Defensive,Farm Products,34575974400.0,LargeCap
ADMA,ADMA Biologics Inc,NASDAQ,Healthcare,Biotechnology,2179156224.0,MidCap
ADNT,Adient PLC,NYSE,Consumer Cyclical,Auto Parts,1520500224.0,SmallCap
ADNWW,Advent Technologies Holdings Inc,NASDAQ,,,0.0,
ADP,Automatic Data Processing Inc,NASDAQ,Technology,Software - Application,83102081024.0,LargeCap
ADPT,Adaptive Biotechnologies Corp,NASDAQ,Healthcare,Biotechnology,1978663168.0,SmallCap
ADSE,Ads Tec Energy PLC,NASDAQ,Industrials,Electrical Equipment & Parts,685396864.0,SmallCap
ADSK,Autodesk Inc,NASDAQ,Technology,Software - Application,49964158976.0,LargeCap
ADT,ADT Inc,NYSE,Industrials,Security & Protection Services,5306188288.0,MidCap
ADTN,ADTRAN Inc,NASDAQ,Technology,Communication Equipment,983711104.0,SmallCap
ADUS,Addus HomeCare Corporation,NASDAQ,Healthcare,Medical Care Facilities,1759584384.0,SmallCap
ADV,Advantage Solutions Inc,NASDAQ,Communication Services,Advertising Agencies,360127456.0,SmallCap
AEAEW,AltEnergy Acquisition Corp. Warrant,NASDAQ,,,0.0,
AEAQ,Activate Energy Acquisition Corp. Class A Ordinary Share,NASDAQ,Financial Services,Shell Companies,310924864.0,SmallCap
AEAQW,Activate Energy Acquisition Corp. Warrant,NASDAQ,,,0.0,
AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAQ,Industrials,Farm & Heavy Construction Machinery,729437952.0,SmallCap
AEE,Ameren Corp,NYSE,Utilities,Utilities - Regulated Electric,30318239744.0,LargeCap
AEG,Aegon NV ADR,NYSE,Financial Services,Insurance - Diversified,10498793472.0,LargeCap
AEHR,Aehr Test Systems,NASDAQ,Technology,Semiconductor Equipment & Materials,922342400.0,SmallCap
AEIS,Advanced Energy Industries Inc,NASDAQ,Industrials,Electrical Equipment & Parts,11343256576.0,LargeCap
AEM,Agnico Eagle Mines Limited,NYSE,Basic Materials,Gold,96672874496.0,LargeCap
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,NASDAQ,Communication Services,Entertainment,332242048.0,SmallCap
AENTW,Alliance Entertainment Holding Corporation Warrants,NASDAQ,,,0.0,
AEO,American Eagle Outfitters Inc,NYSE,Consumer Cyclical,Apparel Retail,2727448064.0,MidCap
AEP,American Electric Power Co Inc,NASDAQ,Utilities,Utilities - Regulated Electric,71272038400.0,LargeCap
AER,AerCap Holdings NV,NYSE,Industrials,Rental & Leasing Services,22464567296.0,LargeCap
AERO,"Grupo AeromÃ©xico, S.A.B. de C.V.",NYSE,Industrials,Airlines,1978450304.0,SmallCap
AERTW,Aeries Technology Inc.,NASDAQ,,,0.0,
AES,The AES Corporation,NYSE,Utilities,Utilities - Diversified,9997263872.0,MidCap
AESI,Atlas Energy Solutions Inc.,NYSE,Energy,Oil & Gas Equipment & Services,1642002944.0,SmallCap
AEVA,"Aeva Technologies, Inc. Common Stock",NASDAQ,Technology,Software - Infrastructure,731452096.0,SmallCap
AEXA,American Exceptionalism Acquisition Corp. A,NYSE,,,536648736.0,SmallCap
AFG,American Financial Group Inc,NYSE,Financial Services,Insurance - Property & Casualty,10590613504.0,LargeCap
AFGE,"American Financial Group, Inc.",NYSE,,,0.0,
AFJKR,"Aimei Health Technology Co., Ltd Right",NASDAQ,,,0.0,
AFJKU,"Aimei Health Technology Co., Ltd Unit",NASDAQ,Financial Services,Shell Companies,0.0,
AFL,Aflac Incorporated,NYSE,Financial Services,Insurance - Life,56693403648.0,LargeCap
AFRIW,Forafric Global PLC Warrants,NASDAQ,,,0.0,
AFRM,Affirm Holdings Inc,NASDAQ,Financial Services,Credit Services,14333751296.0,LargeCap
AFYA,Afya Ltd,NASDAQ,Consumer Defensive,Education & Training Services,1353209856.0,SmallCap
AG,First Majestic Silver Corp,NYSE,Basic Materials,Silver,9690147840.0,MidCap
AGBK,AGI Inc,NYSE,Financial Services,Banks - Regional,1149897216.0,SmallCap
AGCC,Agencia Comercial Spirits Ltd Class A Ordinary Shares,NASDAQ,Consumer Defensive,Beverages - Wineries & Distilleries,301128960.0,SmallCap
AGCO,AGCO Corporation,NYSE,Industrials,Farm & Heavy Construction Machinery,8156290048.0,MidCap
AGI,Alamos Gold Inc,NYSE,Basic Materials,Gold,17585022976.0,LargeCap
AGIO,Agios Pharm,NASDAQ,Healthcare,Biotechnology,1734914304.0,SmallCap
AGM,Federal Agricultural Mortgage Corporation,NYSE,Financial Services,Credit Services,1567313792.0,SmallCap
AGM-A,Federal Agricultural Mortgage Corporation,NYSE,Financial Services,Credit Services,1685111680.0,SmallCap
AGM-P-H,AGM-P-H,NYSE,,,0.0,
AGMB,AgomAb Therapeutics NV American Depositary Shares,NASDAQ,Healthcare,Biotechnology,485306656.0,SmallCap
AGNC,AGNC Investment Corp,NASDAQ,Real Estate,REIT - Mortgage,11052675072.0,LargeCap
AGNCL,AGNC Investment Corp,NASDAQ,Real Estate,REIT - Mortgage,0.0,
